Dilution Of CONOx
,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,
10%,2487.389513286458,4521.115257759666,6383.608447602122,8134.90297789283,9803.51094033236,11406.225588764493,12954.14334282542,14455.15088053266,15915.145066034615,17338.70303659847,18729.481322806078,20090.468564649487,21424.153385536105,22732.640303958087,24017.73235971083,25280.99161055931,26523.784447580943,27747.316212749978,28952.658101196695
20%,1243.694756643229,2260.557628879833,3191.804223801061,4067.451488946415,4901.75547016618,5703.112794382247,6477.07167141271,7227.57544026633,7957.572533017307,8669.351518299234,9364.740661403039,10045.234282324744,10712.076692768052,11366.320151979044,12008.866179855415,12640.495805279656,13261.892223790472,13873.658106374989,14476.329050598348
30%,829.1298377621528,1507.038419253222,2127.869482534041,2711.6343259642767,3267.8369801107865,3802.0751962548306,4318.047780941807,4818.383626844219,5305.048355344872,5779.567678866156,6243.1604409353595,6696.822854883162,7141.384461845369,7577.546767986029,8005.9107865702745,8426.99720351977,8841.261482526981,9249.105404249993,9650.886033732233
40%,621.8473783216145,1130.2788144399165,1595.9021119005306,2033.7257444732074,2450.87773508309,2851.5563971911233,3238.535835706355,3613.787720133165,3978.7862665086536,4334.675759149617,4682.370330701519,5022.617141162372,5356.038346384026,5683.160075989522,6004.433089927707,6320.247902639828,6630.946111895236,6936.8290531874945,7238.164525299174
50%,497.4779026572916,904.2230515519332,1276.7216895204247,1626.9805955785662,1960.702188066472,2281.2451177528988,2590.8286685650837,2891.030176106532,3183.0290132069226,3467.7406073196935,3745.896264561216,4018.0937129298977,4284.830677107221,4546.5280607916175,4803.546471942164,5056.198322111863,5304.7568895161885,5549.463242549996,5790.531620239339
60%,414.5649188810764,753.519209626611,1063.9347412670204,1355.8171629821384,1633.9184900553932,1901.0375981274153,2159.0238904709036,2409.1918134221096,2652.524177672436,2889.783839433078,3121.5802204676797,3348.411427441581,3570.6922309226843,3788.7733839930147,4002.9553932851372,4213.498601759885,4420.630741263491,4624.552702124996,4825.4430168661165
70%,355.3413590409226,645.8736082513808,911.9440639431604,1162.1289968418328,1400.5015629046227,1629.4607983949277,1850.591906117917,2065.0215543618083,2273.592152290659,2476.957576656924,2675.640188972297,2870.0669378070697,3060.5933407908724,3247.520043422584,3431.1046228158325,3611.570230079902,3789.112063940135,3963.9023161071395,4136.094014456671
80%,310.92368916080727,565.1394072199582,797.9510559502653,1016.8628722366037,1225.438867541545,1425.7781985955617,1619.2679178531776,1806.8938600665824,1989.3931332543268,2167.3378795748085,2341.1851653507597,2511.308570581186,2678.019173192013,2841.580037994761,3002.2165449638537,3160.123951319914,3315.473055947618,3468.4145265937473,3619.082262649587
90%,276.3766125873843,502.34613975107396,709.289827511347,903.878108654759,1089.2789933702622,1267.3583987516104,1439.3492603139357,1606.1278756147399,1768.349451781624,1926.5225596220519,2081.053480311786,2232.274284961054,2380.4614872817897,2525.8489226620095,2668.6369288567585,2808.999067839924,2947.087160842327,3083.0351347499973,3216.962011244077

Dilution Of Dust
,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,
10%,2560.413069693193,4667.162370573136,6602.679116822329,8426.997203519773,10168.628722366037,11844.366927204906,13465.308237672569,15039.339331786543,16572.35707369523,18068.93860066582,19532.740443280163,20966.75124153031,22373.459618823665,23754.97009365238,25113.08570581186,26449.368513067082,27765.184906495444,29061.740228071212,30340.105672924663
20%,1280.2065348465965,2333.581185286568,3301.3395584111645,4213.498601759887,5084.314361183018,5922.183463602453,6732.654118836284,7519.6696658932715,8286.178536847616,9034.46930033291,9766.370221640082,10483.375620765155,11186.729809411832,11877.48504682619,12556.54285290593,13224.684256533541,13882.592453247722,14530.870114035606,15170.052836462331
30%,853.4710232310645,1555.7207901910454,2200.893038940776,2808.999067839924,3389.5429074553454,3948.122309068302,4488.43607922419,5013.113110595514,5524.119024565078,6022.9795335552735,6510.913481093388,6988.917080510103,7457.8198729412225,7918.323364550794,8371.028568603953,8816.456171022359,9255.061635498481,9687.246742690406,10113.368557641554
40%,640.1032674232982,1166.790592643284,1650.6697792055822,2106.7493008799433,2542.157180591509,2961.0917318012266,3366.327059418142,3759.8348329466357,4143.089268423808,4517.234650166455,4883.185110820041,5241.6878103825775,5593.364904705916,5938.742523413095,6278.271426452965,6612.3421282667705,6941.296226623861,7265.435057017803,7585.026418231166
50%,512.0826139386387,933.4324741146272,1320.5358233644658,1685.3994407039545,2033.7257444732072,2368.873385440981,2693.0616475345137,3007.8678663573087,3314.4714147390464,3613.787720133164,3906.548088656033,4193.350248306062,4474.6919237647335,4750.994018730476,5022.617141162372,5289.873702613417,5553.0369812990875,5812.3480456142415,6068.021134584933
60%,426.73551161553223,777.8603950955227,1100.446519470388,1404.499533919962,1694.7714537276727,1974.061154534151,2244.218039612095,2506.556555297757,2762.059512282539,3011.4897667776368,3255.456740546694,3494.4585402550515,3728.9099364706112,3959.161682275397,4185.514284301977,4408.228085511179,4627.530817749241,4843.623371345203,5056.684278820777
70%,365.77329567045615,666.7374815104481,943.2398738317613,1203.8567433599676,1452.6612460522908,1692.0524181721296,1923.6154625246525,2148.4770473980775,2367.479581956462,2581.27694295226,2790.3914918971664,2995.250177361473,3196.2085169748098,3393.567156236054,3587.583672258837,3778.48121615244,3966.4549866422067,4151.677175438745,4334.30081041781
80%,320.0516337116491,583.395296321642,825.3348896027911,1053.3746504399717,1271.0785902957546,1480.5458659006133,1683.163529709071,1879.9174164733179,2071.544634211904,2258.6173250832276,2441.5925554100204,2620.8439051912887,2796.682452352958,2969.3712617065476,3139.1357132264825,3306.1710641333852,3470.6481133119305,3632.7175285089015,3792.513209115583
90%,284.49034107702147,518.5735967303485,733.6310129802587,936.333022613308,1129.8476358184485,1316.0407696894338,1496.1453597413965,1671.0377035318381,1841.373008188359,2007.6598445184245,2170.304493697796,2329.6390268367013,2485.939957647074,2639.441121516931,2790.342856201318,2938.81872367412,3085.0205451661604,3229.082247563468,3371.1228525471847
